Number,Longitude,Latitude
1,-68.89289866,-37.7481276
2,-68.89466654,-37.74884784
3,-68.8939954,-37.75149967
4,-68.89036142,-37.75717981
5,-68.93028609,-37.74948625
6,-69.03757853,-37.73081708
7,-69.04193275,-37.70149971
8,-69.08648993,-37.59303687
9,-68.87835455,-37.70547744
10,-68.78315879,-37.65224014
11,-68.54333804,-37.62949438
12,-68.80794507,-37.67876686
13,-68.81862778,-37.69040981
14,-68.83495191,-37.69437081
15,-68.89328669,-37.72593881
16,-68.88512462,-37.71429586
17,-68.86246889,-37.70100249
18,-68.8937068,-37.73314063
19,-68.63369443,-39.11342111
20,-70.57851912,-39.66082614
21,-70.03392811,-39.11671433
22,-70.77235966,-40.42646995
23,-70.48809422,-39.68456563
24,-68.93851106,-39.33488064
25,-70.39392176,-39.70899045
26,-70.91010572,-40.30927875
27,-70.82842719,-40.41412337
28,-70.71606081,-40.21423869
29,-70.8192075,-40.30898396
30,-71.02943966,-40.60800279
31,-70.7114005,-40.42000597
32,-70.51711367,-39.69635447
33,-70.65357143,-40.27681301
34,-70.38158537,-39.0685628
35,-70.69589821,-40.16388498
36,-70.74921035,-40.25702515
37,-70.70023847,-39.70295808
38,-70.42711522,-39.15128081
39,-70.76707355,-40.08519799
40,-70.6737505,-39.72490528
41,-70.66491747,-39.68780229
42,-70.35537908,-40.25137833
43,-70.10664168,-39.41523591
44,-70.72881637,-39.94081002
45,-71.08942958,-40.59043406
46,-70.4289736,-40.32694011
47,-71.14495829,-41.0091286
48,-70.53399345,-39.2733243
49,-70.90400741,-40.53862473
50,-71.16755611,-40.76326677
51,-70.19837203,-39.06008575
52,-70.70248761,-39.387838
53,-70.73123377,-40.19583446
54,-71.05308276,-40.65799577
55,-70.68967435,-39.3940414
56,-71.16755611,-40.76326677
57,-71.25443924,-41.02351927
58,-71.16755611,-40.76326677
59,-70.70400685,-40.45698967
60,-71.10780871,-40.64204076
61,-70.53214566,-39.71182241
62,-69.323329,-39.25840373
63,-70.71589494,-40.39151101
64,-71.13905955,-40.97302194
65,-68.73130503,-39.18139973
66,-68.76479974,-39.22776636
67,-71.14616653,-40.94190373
68,-70.78493298,-40.11874043
69,-71.3143117,-42.9095281
70,-71.23914072,-42.86664691
71,-71.25466427,-42.82506949
72,-71.05800948,-41.81289326
73,-68.9062689,-41.8101472
74,-68.9062689,-41.8101472
75,-68.32918219,-41.03545689
76,-71.05421,-40.88019
77,-70.59270834,-40.41614761
78,-70.64008835,-40.31339772
79,-70.63312188,-40.24979778
80,-70.6637775,-40.19140235
81,-70.67201724,-40.1696137
82,-71.03824809,-40.07408413
83,-70.8249772,-40.00760705
84,-70.86277181,-39.98992407
85,-70.89008655,-39.97189435
86,-70.90059176,-39.9634687
87,-71.0658652,-39.95658529
88,-71.02901492,-39.92392392
89,-71.04514407,-39.91839518
90,-70.69490086,-39.86865118
91,-71.05399836,-39.73704616
92,-69.70316121,-38.93464749
93,-68.91905157,-38.22942839
94,-68.51625077,-37.88359749
95,-68.89115905,-37.75016
96,-68.92671,-37.726822
97,-68.890457,-37.714245
98,-68.49476915,-37.68619884
99,-68.82194757,-37.67645608
100,-68.94533833,-37.65259167
101,-69.367783,-36.487247
102,-69.50906397,-36.4819792
103,-69.21381824,-36.47170573
104,-69.377139,-36.461641
105,-69.38179,-36.424187
106,-69.19988584,-36.41897087
107,-69.20014903,-36.41887104
108,-69.44391727,-36.39210692
109,-69.33711788,-36.3858897
110,-69.216013,-36.367531
111,-69.217601,-36.356368
112,-69.28548753,-36.31057775
113,-69.287467,-36.309246
114,-69.321413,-36.308901
115,-69.40653659,-36.23972405
116,-68.65964678,-36.18255285
117,-69.3873829,-36.15945594
118,-69.335747,-36.149242
119,-69.326649,-36.12817
120,-68.35305088,-36.11279842
121,-69.43112944,-36.06223294
122,-69.14126118,-36.05998039
123,-68.80915718,-36.03067194
124,-69.47928639,-34.24503306
125,-69.849205,-34.23686597
126,-69.4399383,-34.2252316
127,-69.70950777,-34.2133928
128,-69.70776843,-34.20685971
129,-69.69403806,-34.193995
130,-69.704078,-34.191819
131,-69.56707079,-34.19137287
132,-69.680655,-34.19006333
133,-69.367783,-36.487247
134,-69.213818,-36.471706
135,-69.377139,-36.461641
136,-69.38179,-36.424187
137,-69.200149,-36.418871
138,-69.443917,-36.392107
139,-69.216013,-36.367531
140,-69.217601,-36.356368
141,-69.285488,-36.310578
142,-69.287467,-36.309246
143,-69.321413,-36.308901
144,-69.335747,-36.149242
145,-69.326649,-36.12817
146,-69.431129,-36.062233
